Trang,Địa chỉ,Diện tích (m2),Phòng ngủ,WC,Giá
21,phuong cau kho,43,1,1,12000
65,phuong co giang,49,4,4,12000
75,phuong co giang,35,4,4,12000
65,phuong co giang,49,4,4,12000
65,phuong co giang,49,4,4,12000
38,phuong co giang,39,1,1,12000
66,phuong co giang,49,4,4,12000
75,phuong da kao,86,17,18,12000
34,phuong nguyen cu trinh,49,1,1,12000
32,phuong nguyen cu trinh,64,11,11,12000
82,phuong nguyen cu trinh,43,1,1,12000
82,phuong nguyen cu trinh,45,1,1,12000
92,phuong nguyen cu trinh,66,6,7,12000
78,phuong nguyen cu trinh,42,1,1,12000
78,phuong nguyen cu trinh,52,1,1,12000
82,phuong nguyen thai binh,72,12,13,12000
88,phuong nguyen thai binh,100,12,12,12000
5,phuong nguyen thai binh,60,4,4,12000
5,phuong nguyen thai binh,60,4,4,12000
38,phuong pham ngu lao,30,6,4,12000
65,phuong pham ngu lao,90,4,5,12000
3,phuong ben nghe,72,6,7,12000
10,phuong tan dinh,60,5,5,12000
76,phuong co giang,58,12,12,12100
3,phuong nguyen cu trinh,40,4,5,12100
16,phuong cau kho,56,3,3,12200
73,phuong co giang,40,4,4,12300
8,phuong cau kho,37,1,1,12500
30,phuong cau kho,64,6,6,12500
20,phuong cau ong lanh,57,1,1,12500
17,phuong co giang,42,3,4,12500
75,phuong da kao,95,16,17,12500
75,phuong da kao,85,16,17,12500
74,phuong da kao,126,29,30,12500
48,phuong da kao,60,3,1,12500
74,phuong da kao,100,16,17,12500
74,phuong da kao,85,15,16,12500
73,phuong da kao,85,9,9,12500
73,phuong da kao,90,7,7,12500
7,phuong nguyen cu trinh,50,6,6,12500
32,phuong nguyen cu trinh,63,6,6,12500
36,phuong nguyen cu trinh,64,3,4,12500
5,phuong nguyen cu trinh,48,2,2,12500
31,phuong nguyen thai binh,120,3,3,12500
72,phuong tan dinh,93,12,13,12500
71,phuong tan dinh,93,10,10,12500
23,phuong pham ngu lao,60,36,36,12599
13,phuong cau kho,78,2,2,12600
13,phuong cau ong lanh,52,4,4,12600
74,phuong da kao,72,15,16,12600
72,phuong da kao,72,7,7,12600
73,phuong da kao,72,8,8,12600
16,phuong ben thanh,61,6,6,12700
3,phuong cau kho,45,4,4,12800
17,phuong da kao,55,5,6,12800
48,phuong nguyen cu trinh,160,9,9,12800
3,phuong cau kho,64,4,4,12900
43,phuong cau kho,82,6,6,12900
21,phuong cau ong lanh,56,1,1,12900
56,phuong da kao,65,10,11,12900
35,phuong pham ngu lao,52,5,5,12900
34,phuong pham ngu lao,55,4,3,12900
75,phuong pham ngu lao,56,6,7,12900
34,phuong pham ngu lao,60,4,4,12900
34,phuong pham ngu lao,52,4,5,12900
97,phuong ben nghe,40,4,5,13000
5,phuong cau kho,52,4,5,13000
2,phuong cau kho,59,4,4,13000
33,phuong cau kho,52,4,4,13000
44,phuong cau kho,64,5,5,13000
24,phuong cau ong lanh,145,3,4,13000
8,phuong cau ong lanh,54,4,5,13000
41,phuong co giang,55,1,1,13000
51,phuong co giang,51,6,4,13000
47,phuong co giang,61,3,3,13000
82,phuong nguyen cu trinh,54,1,1,13000
79,phuong nguyen thai binh,90,10,11,13000
33,phuong pham ngu lao,42,3,2,13000
60,phuong tan dinh,50,6,6,13000
18,phuong tan dinh,60,3,3,13000
5,phuong da kao,30,3,3,13000
9,phuong pham ngu lao,35,5,5,13000
20,phuong cau kho,48,1,1,13200
23,phuong cau kho,40,1,1,13200
56,phuong da kao,55,6,5,13200
38,phuong nguyen cu trinh,95,16,17,13200
95,phuong nguyen cu trinh,56,24,24,13200
3,phuong nguyen cu trinh,60,6,6,13400
7,phuong cau kho,78,2,1,13499
81,phuong ben thanh,48,3,3,13500
3,phuong cau kho,35,4,5,13500
45,phuong cau kho,108,3,3,13500
11,phuong cau kho,78,2,1,13500
42,phuong cau kho,60,4,4,13500
44,phuong cau kho,104,4,4,13500
42,phuong cau kho,60,4,4,13500
34,phuong cau ong lanh,48,3,3,13500
40,phuong co giang,21,1,1,13500
22,phuong co giang,48,5,5,13500
54,phuong co giang,58,2,2,13500
35,phuong da kao,28,3,4,13500
56,phuong da kao,34,3,5,13500
36,phuong da kao,40,4,4,13500
72,phuong da kao,150,10,10,13500
52,phuong da kao,55,5,5,13500
56,phuong da kao,85,6,5,13500
38,phuong nguyen cu trinh,90,10,10,13500
46,phuong nguyen cu trinh,59,5,5,13500
78,phuong nguyen cu trinh,40,1,1,13500
50,phuong nguyen cu trinh,130,3,3,13500
36,phuong nguyen cu trinh,80,2,2,13500
79,phuong nguyen thai binh,60,6,7,13500
17,phuong nguyen thai binh,162,26,26,13500
75,phuong pham ngu lao,56,7,8,13500
11,phuong cau kho,50,6,7,13600
34,phuong cau ong lanh,105,33,4,13600
74,phuong da kao,150,16,17,13600
72,phuong da kao,150,8,8,13600
73,phuong da kao,150,7,7,13600
10,phuong tan dinh,48,4,4,13600
89,phuong ben thanh,50,4,4,13666
30,phuong ben thanh,55,5,5,13800
65,phuong tan dinh,48,4,4,13800
78,phuong nguyen cu trinh,40,1,1,13900
94,phuong nguyen cu trinh,56,2,3,13900
48,phuong nguyen thai binh,60,2,3,13900
48,phuong tan dinh,73,15,16,13900
22,phuong ben nghe,121,3,2,14000
82,phuong ben thanh,60,6,6,14000
5,phuong cau kho,53,8,9,14000
13,phuong cau kho,90,1,1,14000
43,phuong cau kho,44,4,4,14000
19,phuong cau kho,78,1,1,14000
22,phuong cau kho,46,1,1,14000
9,phuong cau ong lanh,44,6,5,14000
39,phuong co giang,59,1,1,14000
11,phuong co giang,37,4,4,14000
67,phuong co giang,64,2,2,14000
81,phuong da kao,72,4,3,14000
11,phuong nguyen cu trinh,62,4,4,14000
21,phuong nguyen cu trinh,51,3,3,14000
33,phuong pham ngu lao,60,6,6,14000
75,phuong pham ngu lao,56,7,8,14000
74,phuong pham ngu lao,85,6,7,14000
68,phuong pham ngu lao,68,6,7,14000
60,phuong tan dinh,91,3,2,14000
55,phuong tan dinh,91,5,4,14000
47,phuong tan dinh,40,4,5,14000
4,phuong ben nghe,64,4,5,14000
10,phuong da kao,80,3,3,14000
38,phuong nguyen cu trinh,150,15,16,14200
81,phuong nguyen cu trinh,64,5,5,14200
31,phuong pham ngu lao,150,8,8,14200
41,phuong co giang,64,1,1,14300
62,phuong co giang,129,6,4,14300
98,phuong da kao,66,5,4,14300
100,phuong tan dinh,60,6,6,14400
99,phuong tan dinh,64,6,6,14400
69,phuong ben nghe,59,3,3,14500
93,phuong ben thanh,48,5,5,14500
3,phuong cau kho,50,4,4,14500
2,phuong cau kho,51,5,4,14500
36,phuong co giang,60,5,5,14500
6,phuong co giang,80,6,7,14500
8,phuong co giang,48,3,6,14500
59,phuong co giang,70,4,3,14500
72,phuong co giang,54,3,3,14500
71,phuong da kao,60,10,11,14500
57,phuong da kao,91,8,8,14500
54,phuong da kao,60,5,6,14500
29,phuong nguyen cu trinh,51,4,4,14500
91,phuong nguyen cu trinh,80,4,3,14500
81,phuong nguyen cu trinh,84,1,1,14500
